@relation _Users_rafaelfmello_Downloads_Sebastiao_MFD2

@attribute text string
@attribute @@class@@ {racismo2,semRacismo2}

@data

' vai pass mulh pass produt fic branc',racismo2
' racist preconceit séri',semRacismo2
' rac tod negr ser branc',racismo2
' junt rac',semRacismo2
' ser negr sofr aparênc tod dia',racismo2
' muçulm favor odei',semRacismo2
' você negr',racismo2
' prim negr sã qu http',semRacismo2
' fal moren fal negr você fic constrang',racismo2
' vez cont contr mach rac homofob',semRacismo2
' vem olh',racismo2
' branc pod fic fundament',semRacismo2
' sab gent você',racismo2
' mach geled mach',semRacismo2
' você faz cabel',racismo2
' rac car',semRacismo2
' rac exist cabeç',racismo2
' cidadan rac cor faz',semRacismo2
' você negr',racismo2
' faz rac denunci contr cas geled rac',semRacismo2
' estud cot',racismo2
' racist rac',semRacismo2
' estági evolu',racismo2
' grup contr rac',semRacismo2
' cot sã',racismo2
' racismo- crime-machismo-também',semRacismo2
' você pesso',racismo2
' tod infeliz só',semRacismo2
' você negr',racismo2
' mund rac',semRacismo2
' você ser negr precis estud pass',racismo2
' intolerânc polí sociedad preconceit ódi rac homofob',semRacismo2
' você negr branc',racismo2
' rac burr',semRacismo2
' você cabel',racismo2
' lut contr rac sempr',semRacismo2
' broth sed',racismo2
' geled rac',semRacismo2
' você usa',racismo2
' também tod tip rac junt contr rac',semRacismo2
' negr sã',racismo2
' vai cri contr rac dev acontec prim ano rac',semRacismo2
' nom nom bernard',racismo2
' cas trist rac rac',semRacismo2
' você branc',racismo2
' combat mach rac outr preconceit',semRacismo2
' você ser',racismo2
' preocup trump rac rac',semRacismo2
' tod cas fal',racismo2
' nasc odi outr pesso cor pel orig aind',semRacismo2
' você já pens ser pass escol',racismo2
' rac lug racist rac',semRacismo2
' sab direit pesso você',racismo2
' car vai vez vai rac negr',semRacismo2
' dev ser difícil você trabalh estud',racismo2
' contr rac',semRacismo2
' sempr sab negr',racismo2
' rac lut histór http',semRacismo2
' nom neg moren nom',racismo2
' branc brasil lut paí rac',semRacismo2
' neg cabel dur pass',racismo2
' rac futebol rac denunci',semRacismo2
' tod pret',racismo2
' pass contr rac',semRacismo2
' você negr você moren',racismo2
' contr rac junt',semRacismo2
' você precis cot né',racismo2
' apen rac',semRacismo2
' estereótip ladrã',racismo2
' cham ludmill macac até rac',semRacismo2
' branc nao mulh negr qu diz',racismo2
' infeliz rac aind exist dia tod',semRacismo2
' você cabel',racismo2
' lut contr rac rac burr',semRacismo2
' você sab',racismo2
' junt lut rac sociedad',semRacismo2
' cor você',racismo2
' denunci racist denunci rac',semRacismo2
' preconceit negr tod',racismo2
' rac rio',semRacismo2
' mulh negr só',racismo2
' junt contr rac',semRacismo2
' víru afric',racismo2
' rac futebol tod cidadã mund',semRacismo2
' você fic vermelh',racismo2
' uniã tim brasil torn rac',semRacismo2
' nasc pel moren',racismo2
' rac futebol',semRacismo2
' cabel difer toc',racismo2
' rac tod tip preconceit vem ser human',semRacismo2
' desculp ach suspeit',racismo2
' tod contr rac',semRacismo2
' pret tent pass',racismo2
' sab jog futebol rac jog mund',semRacismo2
' você faz cabel toc',racismo2
' rac cas',semRacismo2
' bel você',racismo2
' cas rac constrang',semRacismo2
' você negr traç sã pel escur',racismo2
' cas desculp rac',semRacismo2
' cabel ahbrancodaumtemp',racismo2
' rac aind você sã apen',semRacismo2
' neg ahbrancodáumtemp',racismo2
' rac pass cor rac negr branc http',semRacismo2
' cabel dur cabel bbb17 racist cham',racismo2
' rac lut contr trump http',semRacismo2
' preconceit part escur racist',racismo2
' racist dur jog francê http rac futebol',semRacismo2
' começ trabalh pret vend branc cont ahbrancodaumtemp',racismo2
' pret faz pi rac donaldtrump',semRacismo2
' desculp cham macac rac',racismo2
' bélg acus rac apó geled rac',semRacismo2
' há dig pur rac',racismo2
' afric contr intolerânc rac sã geled rac',semRacismo2
' negr você já vir sobr',racismo2
' dig rac',semRacismo2
' até tod negr ladrã rac',racismo2
' vez rac acus acus import cri sab',semRacismo2
' gay rio cor fundament rac homofob',racismo2
' bélg acus rac apó',semRacismo2
' qu paz mund ach negr né sei rac',racismo2
' branc negr form geled rac',semRacismo2
' aind exist pesso pret só rac',racismo2
' cham geled rac',semRacismo2
' cont negr cont branc rac',racismo2
' rac contr can ludmill já',semRacismo2
' nigeri outr afric inglê',racismo2
' infeliz rac outr dev',semRacismo2
' precis hom geled rac',racismo2
' mulh negr sociedad mach rac',semRacismo2
' só exist cois cor pel rac cot rac',racismo2
' popul fras rac',semRacismo2
' “nã negr gay tip rac',racismo2
' rac rac vir',semRacismo2
' cham branc rac',racismo2
' crí combat rac',semRacismo2
' ach ser negr filh ach',racismo2
' rac nao',semRacismo2
' você só',racismo2
' apó cas rac geled rac',semRacismo2
' pret mulh tent filh',racismo2
' rac brasil rac',semRacismo2
' contrat negr',racismo2
' apó rac contr can ludmill ludmill http rac',semRacismo2
' brasil cas rac dur',racismo2
' rac nao apó cham ludmill',semRacismo2
' pesso pobr só cot',racismo2
' rac car brasil',semRacismo2
' lev ser',racismo2
' rac lug branc brasil',semRacismo2
' neg negr só',racismo2
' vem ludmill fal rac preconceit',semRacismo2
' part dur',racismo2
' crim rac você ach sobr rac',semRacismo2
' mach hom',racismo2
' rac pod ser racist pov racist tant só pod',semRacismo2
' pesso fal gay norm',racismo2
' cab contr rac ludmill jog',semRacismo2
' racist rac crim crim cois negr',racismo2
' julg outr cor tod',semRacismo2
' gay está trist você baix',racismo2
' rac preconceit crim',semRacismo2
' homofob burr internet',racismo2
' já nad acontec rac crim',semRacismo2
' homofób só ach gay ser mulh',racismo2
' rac contr ludmill rac brasil',semRacismo2
' homofób escol está',racismo2
' preconceit rac brasil',semRacismo2
' nao homofób só gost gay ach nao precis exist',racismo2
' rac crim',semRacismo2
' nao racist homofob irrit nao pens',racismo2
' sã dess vez pass rac',semRacismo2
' homofob até racist',racismo2
' donaldtrump rac',semRacismo2
' homofob pens hom menin menin pod',racismo2
' acontec rac',semRacismo2
' ser gent',racismo2
' rac pers airbnb',semRacismo2
' odei gay odei homofob nao gost gay',racismo2
' desculp até rac',semRacismo2
' já diz negr negr',racismo2
' cor pel import olh aind guerr',semRacismo2
' você vai',racismo2
' sociedad racist mach brasil mulh negr gent rac',semRacismo2
' ach fic',racismo2
' rac diz',semRacismo2
' você qu menin',racismo2
' ludmill vai contr rac',semRacismo2
' veter york',racismo2
' começ rac',semRacismo2
' só pod gent',racismo2
' rac cânc',semRacismo2
' nad continu preconceit',racismo2
' você precis ser negr lut contr rac',semRacismo2
' você bel',racismo2
' exist rac',semRacismo2
' negr até você',racismo2
' pi racist cor',semRacismo2
' você negr',racismo2
' olh racist racist',semRacismo2
' você dev ser',racismo2
' rac sociedad',semRacismo2
' lug negr áfr vem brasil',racismo2
' continu rac',semRacismo2
' você tip exportaçã',racismo2
' racist vend',semRacismo2
' pel escur',racismo2
' difer você cor outr aparênc',semRacismo2
' você negr traç',racismo2
' negr sei',semRacismo2
' cabel ach dur',racismo2
' negr sã racist',semRacismo2
' você negr branc pur',racismo2
' pov ocup',semRacismo2
