@relation _Users_rafaelfmello_Downloads_Sebastiao_MFD3

@attribute text string
@attribute @@class@@ {racismo3,semRacismo3}

@data

' vai pass mulh pass produt fic branc',racismo3
' ato racist preconceit represent séri',semRacismo3
' rac lamentá tod negr quas ser branc',racismo3
' junt rac',semRacismo3
' ser negr sofr aparênc tod dia',racismo3
' muçulm favor odei',semRacismo3
' você negr bonit',racismo3
' prim negr presid sã paul qu http',semRacismo3
' fal moren fal negr você fic constrang',racismo3
' vez cont contr mach rac homofob',semRacismo3
' ond vem olh',racismo3
' branc pod fic fundament',semRacismo3
' sab gent você',racismo3
' mach //ow.ly/yn0p308zpv6 geled mach',semRacismo3
' você faz lav cabel',racismo3
' noj noj rac car',semRacismo3
' rac exist tir cabeç',racismo3
' cidadan rac cor faz infânc',semRacismo3
' você parec negr',racismo3
' faz ato rac denunci contr cas fri geled rac',semRacismo3
' estud quer cot',racismo3
' respond racist rac',semRacismo3
' moreno-clar estági evolu',racismo3
' grup protest contr rac',semRacismo3
' concord cot sã',racismo3
' racismo- é- crime-machismo-também',semRacismo3
' você pesso ouv',racismo3
' tod igual infeliz só',semRacismo3
' você negr',racismo3
' cl mund discriminaçã rac',semRacismo3
' você ser negr precis estud pass',racismo3
' intolerânc polí sociedad preconceit ódi rac homofob',semRacismo3
' você negr alm branc',racismo3
' rac burr',semRacismo3
' você pente cabel',racismo3
' lut contr rac sempr',semRacismo3
' broth sed',racismo3
' venu geled rac',semRacismo3
' você usa carvã',racismo3
' nó também tod tip rac junt contr rac',semRacismo3
' negr sã sinôn',racismo3
' vai cri contr rac dev acontec prim ano rac',semRacismo3
' nom negã nom bernard',racismo3
' boicot cas fri trist rac caus rac',semRacismo3
' você branc dentr',racismo3
' combat mach rac outr preconceit',semRacismo3
' você ser cotist',racismo3
' preocup trump rac loj rac',semRacismo3
' tod cas ouv poss fal',racismo3
' nasc odi outr pesso cor pel orig aind',semRacismo3
' você já pens ser pass escol',racismo3
' rac aqu lug racist rac',semRacismo3
' sab direit pesso você',racismo3
' car vai vez mesm loj únic vai rac negr',semRacismo3
' dev ser difícil você trabalh estud',racismo3
' unt contr rac',semRacismo3
' sempr sab negr',racismo3
' rac conhec lut histór http via',semRacismo3
' nom neg moren nom',racismo3
' branc brasil lut viv paí rac',semRacismo3
' neg cabel dur pass',racismo3
' rac futebol ofend rac denunci',semRacismo3
' tod pret frent',racismo3
' pass contr rac',semRacismo3
' você negr você moren',racismo3
' contr rac junt',semRacismo3
' você precis cot né',racismo3
' apen acredit rac',semRacismo3
' estereótip ladrã',racismo3
' apresent cham ludmill macac até rac',semRacismo3
' amig branc nao mulh negr qu diz fiqu',racismo3
' infeliz rac aind exist hoj dia tod igual',semRacismo3
' você lav cabel',racismo3
' lut contr rac rac burr',semRacismo3
' você sab ler',racismo3
' junt lut rac sociedad',semRacismo3
' cor interess você',racismo3
' denunci racist denunci rac',semRacismo3
' preconceit negr tod',racismo3
' rac tendênc rio',semRacismo3
' mulh negr só',racismo3
' junt contr rac',semRacismo3
' víru afric',racismo3
' rac futebol tod cidadã mund',semRacismo3
' você fic vermelh peg',racismo3
' ver uniã tim brasil torn caus nó rac',semRacismo3
' pen nasc pel moren igual',racismo3
' rac futebol convosc',semRacismo3
' cabel difer poss',racismo3
' rac tod tip preconceit vem cad ser human',semRacismo3
' desculp ach suspeit',racismo3
' tod contr rac',semRacismo3
' pret tent peg pass par',racismo3
' sab jog futebol rac jog mund',semRacismo3
' você faz deix cabel assim poss',racismo3
' rac cas fri vít',semRacismo3
' bel exó você poup',racismo3
' boicot cas fri rac loj constrang',semRacismo3
' você negr traç sã pel escur',racismo3
' cas fri ped desculp vít rac',semRacismo3
' entã temp cabel deix assim ahbrancodaumtemp',racismo3
' rac quant aind você sã apen pen',semRacismo3
' neg ahbrancodáumtemp',racismo3
' tir rac quer pass cor rac negr branc http',semRacismo3
' cabel dur mort cabel bbb17 racist cham',racismo3
' rac lut contr trump http',semRacismo3
' preconceit part escur racist',racismo3
' ataqu racist dur jog francê http rac futebol',semRacismo3
' começ trabalh deix pret vend branc cont ahbrancodaumtemp',racismo3
' pret faz pi rac donaldtrump',semRacismo3
' desculp cham macac rac',racismo3
' bélg acus rac apó soc geled rac',semRacismo3
' há dig pur rac',racismo3
' afric promov ato contr intolerânc rac sã paul geled rac',semRacismo3
' quant negr você já vir sobr',racismo3
' fiqu dig rac',semRacismo3
' até tod negr ladrã rac',racismo3
' vez rac acus acus import cri sab',semRacismo3
' gay rio cor fundament rac homofob',racismo3
' bélg acus rac apó',semRacismo3
' qu paz mund ach negr né sei rac',racismo3
' branc negr form geled rac',semRacismo3
' aind exist pesso pret só rac',racismo3
' cham geled rac',semRacismo3
' cont negr cont branc rac',racismo3
' rac contr can ludmill já apresent',semRacismo3
' hoj nigeri chimamand outr afric inglê',racismo3
' infeliz rac sistemá outr dev segu',semRacismo3
' precis hom geled rac',racismo3
' mulh negr sociedad mach rac',semRacismo3
' só exist cois cor pel rac cot rac',racismo3
' popul cad fras rac',semRacismo3
' “nã negr gay tip rac',racismo3
' rac rac vir entã',semRacismo3
' cham branc rac',racismo3
' hum crí combat rac',semRacismo3
' ach ser negr filh ach azul',racismo3
' rac nao opiniã',semRacismo3
' você só problem',racismo3
' apó cas rac geled rac',semRacismo3
' pret mulh tent filh',racismo3
' rac brasil rac branconobrasil',semRacismo3
' contrat negr',racismo3
' apresent apó rac contr can ludmill ludmill http rac',semRacismo3
' soc brasil cas rac dur',racismo3
' rac nao apresent apó cham ludmill viv via',semRacismo3
' pesso pobr só agor cot',racismo3
' rac car brasil',semRacismo3
' lev ser conden',racismo3
' rac lug branc brasil',semRacismo3
' neg negr ter só',racismo3
' vem ludmill fal rac preconceit',semRacismo3
' part femin dur',racismo3
' crim rac você ach sobr rac',semRacismo3
' mach hom mostr',racismo3
' rac pod ser tã racist malhaçã pov racist tant só glob pod',semRacismo3
' pesso fal gay norm',racismo3
' cab contr rac ludmill jog',semRacismo3
' racist rac crim crim cois negr',racismo3
' julg outr cor dentr tod igual',semRacismo3
' gay está trist você baix',racismo3
' rac preconceit crim',semRacismo3
' homofob burr acredit internet',racismo3
' já nad acontec rac crim',semRacismo3
' homofób só ach gay quer ser mulh',racismo3
' ato rac contr ludmill rac brasil recordtvofic',semRacismo3
' homofób escol está',racismo3
' preconceit rac brasil',semRacismo3
' nao homofób só gost gay ach nao precis exist',racismo3
' aprend rac crim',semRacismo3
' nao racist homofob par irrit nao pens',racismo3
' sã dess vez pass rac',semRacismo3
' homofob até racist',racismo3
' lanç donaldtrump rac',semRacismo3
' homofob pens hom menin menin pod',racismo3
' encontr acontec rac encontr',semRacismo3
' aprend ser gent',racismo3
' rac pers airbnb ub',semRacismo3
' odei gay odei homofob nao gost gay',racismo3
' tã desculp recordtvofic até agor acredit rac',semRacismo3
' já diz negr negr mort',racismo3
' cor pel import olh aind guerr',semRacismo3
' assim você vai',racismo3
' sociedad racist mach brasil mulh negr incomod gent rac',semRacismo3
' ach fic bonit',racismo3
' rac recordtvofic diz',semRacismo3
' você qu parec menin',racismo3
' ludmill vai entr ped contr apresent rac',semRacismo3
' veter nuev york',racismo3
' começ rac glob',semRacismo3
' quas só pod gent',racismo3
' rac cânc soc',semRacismo3
' nad continu preconceit aqu',racismo3
' você precis ser negr lut contr rac',semRacismo3
' você bel exó',racismo3
' com exist rac',semRacismo3
' negr até você bonit',racismo3
' pi racist cor',semRacismo3
' você negr bonit',racismo3
' olh racist racist alm',semRacismo3
' você dev ser',racismo3
' rac doenç sociedad',semRacismo3
' lug negr áfr vem brasil',racismo3
' continu rac agent',semRacismo3
' você tip exportaçã',racismo3
' racist vend raçã',semRacismo3
' pel escur parec',racismo3
' difer você caus cor outr aparênc',semRacismo3
' você negr bonit traç',racismo3
' negr sei incomod',semRacismo3
' cabel ach dur',racismo3
' negr sã racist mesm',semRacismo3
' você tã negr alm branc pur',racismo3
' pov ocup cotassim',semRacismo3
' você negr tip',racismo3
' favor cot favor igualdad',semRacismo3
' moren cor pec',racismo3
' escrav ser human escrav',semRacismo3
' cabel fic chiqu',racismo3
' você pod cabel',semRacismo3
' namor branc tá',racismo3
' ser negr está cad dia difícil cor cabel ahbrancodáumtemp',semRacismo3
' rac começ vai tir diz escur aqu',racismo3
' aind exist preconceit ahbrancodaumtemp',semRacismo3
' sab áfr pret',racismo3
' dig rac',semRacismo3
' sab negr cânc cânc evolu',racismo3
' dia rac apresent livr rac discriminaçã',semRacismo3
' gost negr pen vend',racismo3
' moren quer negr ahbrancodaumtemp http',semRacismo3
